row_id,내용,상세내용,주장/검증 매체,label
0,한국에서는 팁 문화가 불법이다,"['택시', '한국', '요금', '문화', '불법', '법률', '봉사', '서비스', '지불', '업계', '운송', '사업', '발전', '규제', '카카오', '도입', '온라인', '커뮤니티', '게시', '부과', '경우', '실제', '검증', '확인', '판결', '변호사']",온라인 커뮤니티 게시물,0
1,7만 원짜리 잼버리 텐트를 25만 원에 납품했다,"['텐트', '잼버리', '가격', '인용', '납품', '직위', '이상', '제공', '의혹', '일부', '세계', '스카우트', '각국', '대표', '회사', '버펄로', '매트', '새만금', '조직', '위원회', '유튜버', '누리꾼', '둔갑', '주장', '인터넷', '제작', '예산', '비리', '지난', '비교', '원대', '실제', '사실', '참가자', '위해', '후원']",인터넷 커뮤니티,0
2,직원 16만명인데 임원 14만명 새마을금고 조직구조 희한하다,"['새마을금고', '임원', '금고', '지역', '직원', '중앙회', '신문', '조직', '구조', '금융', '비교', '기사', '한국', '사태', '왜곡', '비율', '부실', '독립', '법인', '개별', '직구', '절반', '보도', '모두', '경제', '수행']",언론보도,0
3,탄소포집 기술은 2030년 이전에 상용화돼 탄소중립에 기여할 수 있다,"['기술', '탄소', '포집', '상용', '저장', '활용', '연구원', '이산화탄소', '중립', '한국', '정부', '실증', '진행', '에너지', '수준', '계획', '이전', '예상', '주장', '대체로', '사실', '분리', '혁신', '배기가스', '선도', '가스']",언론사 자체 문제제기,0
4,저출산이 GDP 순위 하락 요인이다,"['총재', '순위', '한국은행', '저출산', '지난해', '고령화', '하락', '환율', '한국', '분석', '달러', '원인', '경쟁력', '문제', '이창용', '지난', '금융통화위원회', '기자간담회', '위로', '둔화', '중장', '기적', '설명', '시장', '적용', '경제', '통화정책', '방향', '회의', '국내총생산', '추락', '무엇', '질문', '라며', '개혁', '때문', '산업', '연구원', '검증', '명목']",이창용,1
5,한국이 선진국에 비해 실업급여 퍼준다,"['급여', '실업', '한국', '정부', '선진국', '여당', '주장', '개월']",국민의힘,0
6,지구 평균기온 오르면 세계경제 성장률 내려간다,"['생산', '세계', '한국', '베트남', '극한', '기후', '차질', '지구', '평균기온', '경제', '엘니뇨', '폭염', '전국', '상승', '성장', '가뭄', '전력', '가격', '강수량', '검증', '지역', '지난달', '광물']",언론사 자체 문제 제기,1
7,한국에서는 팁 문화가 불법이다,"['우럭', '세슘', '일본', '후쿠시마', '처리', '한국', '물질', '정부', '방사성', '농도', '수산업', '방사', '검증', '물고기', '발전소', '알프스', '지난', '내항', '원전', '오염수', '대한', '상황', '교도통신', '보도', '근처', '일반', '어로', '활동', '바다', '김교흥', '의원', '교수', '인터뷰']",온라인 커뮤니티 게시물,0
8,아일랜드가 법인세 인하로 유럽 최빈국에서 최고 부자 국가가 됐다,"['아일랜드', '법인세', '인하', '국가', '부자', '주장', '세계', '최고', '성장', '대표', '최빈국', '검증', '연도', '추이', '논문', '인터뷰']",김기현,0
9,외국인 건강보험에 상호주의 적용할 수 있다,"['보험', '건강', '외국인', '국민', '제도', '대표', '중국', '의료', '논문', '국회', '상호', '주의', '우리나라', '사회보장', '김기현', '적용', '발언', '한국', '방식', '교섭단체', '연설', '피부', '양자', '원칙', '검증', '자료', '현황', '독일', '국가']",김기현,0
10,불황에 복권 판매 증가한다,"['복권', '판매', '증가', '불황', '기록', '경제성장률', '대비', '매출', '경기', '백서', '시기', '검증', '경제', '우리나라', '추이', '상관관계', '상품', '위원회', '연구', '확인', '감소', '사상']",다수 언론보도,0
11,주가 폭락 사태는 공매도 세력 탓이다,"['공매도', '종목', '사태', '지난', '사실', '세력', '지수', '선광', '대표', '주가', '폭락', '이득', '촉발', '배후', '편입', '허용', '검증', '덕연', '투자자', '하나로', '지목', '증권', '코스피', '해당', '코스닥', '다우', '데이타', '하림', '거래', '대금', '비중']",라덕연,0
12,해외 선진국이 외국인 최저임금을 내국인과 달리 책정하고 있다,"['확인', '외국인', '최저임금', '최저임금법', '해외', '개정안', '의원', '발의', '노동자', '차등', '지급', '주장', '차별', '인력', '한국', '책정', '선진국', '달리', '보고서', '주요', '사례', '판례', '인터뷰']",언론사 자체 문제제기,0
13,토지거래허가제는 재산권 침해다,"['토지', '거래', '허가', '토지거래허가제', '재산권', '침해', '구역', '헌법재판소', '서울시', '연장', '대해', '합헌', '주민', '주장', '판단', '본질', '검증', '제도', '지역', '지난', '소유자', '댓글', '사유재산', '사실', '국토이용관리법', '전문가', '지정', '매매', '때문', '위해', '투기', '결정', '보장']",언론보도 내 댓글,0
14,외국인 노동자 없이는 뿌리산업을 지탱하기 어렵다,"['산업', '뿌리', '인력', '확인', '외국인', '진흥', '기업', '인터뷰', '보고서', '노동자', '외국', '정책', '사업', '종사', '정부', '국가', '센터', '제조업', '지탱', '지원', '노동', '현장', '조사', '연구원', '고용']",언론사 자체 문제 제기,1
15,천문학적인 한전 적자는 탈원전 정책 탓이다,"['원전', '정책', '원자력', '한전', '세계', '사고', '적자', '산업', '정부', '계획', '국회', '전기', '요금', '인상', '원인', '비용', '보고서', '예산정책처', '후쿠시마', '자료', '한국', '이창', '자원부', '장관', '지난', '에너지', '윤석열', '대통령', '검증', '근거', '전력', '운영']",이창양,0
16,국회 표결을 앞둔 노란봉투법에는 문재인 정부도 반대했던 내용이 포함되어 있다,"['봉투', '내용', '손해배상', '차관', '제한', '국회', '문제', '논의', '표결', '법안', '박화진', '고용노동부', '문재인', '정부', '병원', '청구', '발언', '회의', '노조', '당시', '원칙', '통과', '현재', '일부', '우려', '해당', '법률', '대해', '의원', '발의', '포함', '노동', '위원회']",언론사 자체 문제제기,0
17,한국의 불공정거래 행위주가조작 등에 대한 제재 수준은 금융선진국과 비교했을 때 미흡하다,"['주가조작', '자본시장', '법원', '증권', '불공정', '거래', '위원회', '해도', '행위', '가지', '가운데', '절반', '기소', '선고', '제재', '부당이득', '범죄', '사건', '대법원', '경우', '대한', '해외', '수준', '조종', '양형', '검증', '금융', '개정안', '박용진']",언론사 자체 문제제기,1
18,문재인 정부 임대차 3법이 전세 사기 원인이다,"['전세', '임대차', '사기', '정부', '원인', '빌라', '정치인', '문재인', '국민', '지난', '주장', '시행', '정책', '피해', '임대', '갱신', '보증금', '집값', '국토교통부', '시장', '계약', '임차', '차법', '중앙', '일보', '청구권', '보장', '부터', '박대출', '의장', '지원', '원희룡', '장관', '윤희', '의원', '조선일보', '전월세', '사실', '부동산', '검증', '이전', '셋값']",국민의힘,0
19,미국의 부채상한제도 운용 내용 및 부채상한 확대 합의 사례여부 등의 초기입법과 한도상향 과정 및 부채 급증 원인에 대한 미국 대통령과 야당의 주장,"['미국', '달러', '대통령', '한도', '부채', '증가', '바이든', '트럼프', '국가부채', '이후', '코로나', '발언', '공화당']",조 바이든,0
